10;15;7;[1, -40.73548387208317, 0.14647843152740952]
10;15;7;[1, -45.26337602105235, 0.18634216012217356]
10;15;7;[1, -62.67724431205136, 0.2867453857588079]
10;15;7;[1, -81.48324020654685, 0.35084827620965725]
10;15;7;[1, -162.97261641324624, 0.4040262258351568]
10;15;7;[1, -407.43583619182607, 0.4522178791367045]
10;15;7;[1, 203.71669090882938, 0.48773258856586144]
10;15;7;[1, 407.4358361918058, 0.5070851410680124]
10;15;7;[1, 90.53779715289134, 0.5119705852324932]
10;15;7;[1, 62.67724431205001, 0.5193352851731716]
10;15;7;[1, 47.92676978906799, 0.5070851410680124]
10;15;7;[1, 45.263376021052096, 0.4829404884206969]
10;15;7;[1, 35.41986537305571, 0.4498840885906561]
10;15;7;[1, 32.584705164868865, 0.41307802896801304]
10;15;7;[1, 29.091163540504247, 0.3617756243412812]
10;15;7;[1, 24.679630057489646, 0.3036114160058092]
10;15;7;[1, 23.26777561712448, 0.23905348286926995]
10;15;7;[1, 21.428487844973294, 0.14449812832807984]
10;15;7;[1, 19.858184392585315, 0.1149179315397814]
